Paper Name,Citation,Cohort,Gait Task,High-pass filter (settings),ASR (Yes/No),ASR cut-off,IC-selection method,IC-selection threshold,Supporting quote - High-pass,Supporting quote - ASR,Supporting quote - ASR threshold,Supporting quote - IC-selection method,Supporting quote - IC-selection threshold,Filename,Notes / Cross-validation flags
Electrocortical theta activity may reflect sensory prediction errors during adaptation to a gradual gait perturbation,"Jacobsen, N.A., et al., 2024",HA,Treadmill walking,"1 Hz (zero-phase, 2nd order, Butterworth)",No,,"ICLabel (automated classifier by Pion-Tonachini); Dipole/residual-variance (selection based on equivalent-dipole fit or residual variance threshold, e.g. RV < 15%)",reject IC if P(brain) < 0.5,"- ""Data were high-pass filtered at 1 Hz (zero-phase, 2nd order, Butterworth) to attenuate slow drift.""","- ""On average, 119 channels (±6 SD) and 95% of frames remained in each dataset.""
  - ""We used clean_artifacts to reject noisy time windows and channels (from clean_rawdata v2.91) (Kothe, Miyakoshi & Delorme, 2019).""
  - ""we used a data cleaning algorithm called iCanClean that uses strategically placed reference channels to remove noisy EEG subspaces""","- ""On average, 119 channels (±6 SD) and 95% of frames remained in each dataset.""
  - ""We used clean_artifacts to reject noisy time windows and channels (from clean_rawdata v2.91) (Kothe, Miyakoshi & Delorme, 2019).""
  - ""Further details of how iCanClean was applied to this dataset were previously described in Jacobsen & Ferris (2023).""
  - ""iCanClean uses canonical correlation analysis to detect and reject components from the scalp channels that are highly correlated with components from the noise and muscle channels.""
  - ""we used a data cleaning algorithm called iCanClean that uses strategically placed reference channels to remove noisy EEG subspaces""","- ""After source localization, we excluded artifact components based on the following criteria: positive power spectral density slope (linear slope [2-40 Hz] >0), high residual variance (>15%), localization outside the skull, low probability (<50%) of being a brain component per ICLabel (Pion-Tonachini, Kreutz-Delgado & Makeig, 2019), and high cross-frequency power-power coupling [quantified with PowPowCat ; Thammasan & Miyakoshi, 2020] in specific frequency bands that are characteristic of eye and muscle components [correlation coefficient >0.3 in low (<8 Hz) and high (>30 Hz) frequency windows].""
  - ""We used adaptive mixture independent component analysis to decompose the preprocessed EEG data, which amounted to an average of 50 minutes/person, into maximally independent components""","- ""After source localization, we excluded artifact components based on the following criteria: positive power spectral density slope (linear slope [2-40 Hz] >0), high residual variance (>15%), localization outside the skull, low probability (<50%) of being a brain component per ICLabel (Pion-Tonachini, Kreutz-Delgado & Makeig, 2019), and high cross-frequency power-power coupling [quantified with PowPowCat ; Thammasan & Miyakoshi, 2020] in specific frequency bands that are characteristic of eye and muscle components [correlation coefficient >0.3 in low (<8 Hz) and high (>30 Hz) frequency windows].""",PMC11162180.pdf,
Study of the Brain Functional Connectivity Processes During Multi-Movement States of the Lower Limbs,"Wei, P., et al., 2024",HA,Treadmill walking,0.1 Hz,Yes,10 SD,Other automated (Infomax),,"- ""All the EEG channels were bandpass-filtered at 0.1-50 Hz.""
  - ""The signal processing was performed in Matlab R2016b and plug-in toolbox EEGLAB (http://www.sccn.ucsd.edu/eeglab/, (accessed on 15 September 2024)) [26].""
  - ""Channels with standard deviation > 1000 µV and kurtosis more than 5 standard deviations from the mean were removed [14].""
  - ""Then, the remaining channels were channel average re-referenced.""
  - ""Subsequently, the EEGLAB tool-box plug-in of Artifact Subspace Reconstruction (ASR) was applied to remove muscle movements and electrode-shift-related artifacts [27].""
  - ""The ocular-related components were excluded by the independent component analysis (ICA) method [28].""","- ""the EEG channels were reconstructed using the mixing matrix which is calculated from the baseline data.""
  - ""The ASR algorithm identified the channels with movement artifacts using principal component analysis.""
  - ""Subsequently, the EEGLAB tool-box plug-in of Artifact Subspace Reconstruction (ASR) was applied to remove muscle movements and electrode-shift-related artifacts""","- ""The ASR algorithm identified the channels with movement artifacts using principal component analysis. Thereafter, the EEG channels were reconstructed using the mixing matrix which is calculated from the baseline data. The channel would be removed if flat for more than 5 seconds. The threshold of channel cross-correlation was set at 0.7. The SD value for repair bursts using ASR was set at 10.""","- ""The ocular-related components were excluded by the independent component analysis (ICA) method [28]. The ocular correction ICA was conducted in Analyzer 2.0 software, which is developed by Brain Products Company (www.brainproducts.com, (accessed on 15 September 2024)). The ICA algorithm we used was Infomax.""","- ""The ocular-related components were excluded by the independent component analysis (ICA) method [28]. The ocular correction ICA was conducted in Analyzer 2.0 software, which is developed by Brain Products Company (www.brainproducts.com, (accessed on 15 September 2024)). The ICA algorithm we used was Infomax.""",PMC11548552.pdf,
Exploring Electrocortical Signatures of Gait Adaptation: Differential Neural Dynamics in Slow and Fast Gait Adapters,"Jacobsen, N.A., et al., 2024",HA,Treadmill walking,"1 Hz (zero-phase, second-order, Butterworth)",No,,"Dipole/residual-variance, Other automated",,"- ""Data were high-pass filtered at 1 Hz (zero-phase, second-order, Butterworth) to mitigate slow drift.""","- ""We used three cleaning cycles to attenuate stationary noise, nonstationary noise, and muscle artifacts.""
  - ""The clean_artifacts() tool clean_rawdata() (v 2.91, default parameters) was used to reject noisy time windows and channels (Kothe et al., 2019).""
  - ""To diminish motion and muscle artifacts, we used the iCanClean algorithm (Downey and Ferris, 2023), employing canonical correlation analysis for effective noise reduction.""","- ""The clean_artifacts() tool clean_rawdata() (v 2.91, default parameters) was used to reject noisy time windows and channels (Kothe et al., 2019).""
  - ""Bad channels were excluded based on statistical criteria: probability (absolute threshold = 5), standard deviation (SD > 500), and kurtosis (absolute threshold = 5; Gwin et al., 2011).""
  - ""We used three cleaning cycles to attenuate stationary noise, nonstationary noise, and muscle artifacts. In the first cycle, we removed components of scalp and EMG channels that correlated with components from noise channels in an infinite window (R 2 = 0.05). The second cycle similarly removed subspaces of noise components but within a 2 s window (R 2 = 0.95). In the last cycle, we removed components of scalp channels that correlated with components from the EMG channels in a 2 s window (R 2 = 0.95).""
  - ""To diminish motion and muscle artifacts, we used the iCanClean algorithm (Downey and Ferris, 2023), employing canonical correlation analysis for effective noise reduction.""","- ""Clustering relied on two equally weighted spatial features, scalp topography and dipole location, excluding time-frequency features to avoid potential false-positive rate inflation (Kriegeskorte et al., 2009).""
  - ""When multiple components per participant were present within a cluster, the components explaining the greatest variance (i.e., the lowest independent component order number) were chosen to prevent artificial sample size inflation.""
  - ""Component data were downsampled to 256 Hz, and an equivalent dipole model for each independent component was computed using custom head models and FieldTrip software (v20210614, RRID:SCR_004849; Oostenveld et al., 2011).""
  - ""An average of 21 (±7 SDs) components per participant was used for group clustering via k-means.""
  - ""The preprocessed EEG data, averaging 50 min per person, was decomposed using adaptive mixture independent component analysis (Palmer et al., 2012).""","- ""On average, 119 channels (±6 SDs) and 95% of frames were retained in each dataset.""
  - ""The clean_artifacts() tool clean_rawdata() (v 2.91, default parameters) was used to reject noisy time windows and channels (Kothe et al., 2019).""
  - ""Bad channels were excluded based on statistical criteria: probability (absolute threshold = 5), standard deviation (SD > 500), and kurtosis (absolute threshold = 5; Gwin et al., 2011).""
  - ""We used three cleaning cycles to attenuate stationary noise, nonstationary noise, and muscle artifacts. In the first cycle, we removed components of scalp and EMG channels that correlated with components from noise channels in an infinite window (R 2 = 0.05).""",PMC11242882.pdf,
The speed and phase of locomotion dictate saccade probability and simultaneous low-frequency power spectra,"Barnes, L., et al., 2024",HA,Overground walking,0.1 Hz,No,,No ICA,,"- ""During pre-processing, EEGs were re-referenced to the average of A1 and A2, and bandpass-filtered between 0.1 and 40 Hz prior to epoching per trial.""
  - ""Electrode impedances were kept below 20 kΩ during recording, sampled at 300 Hz and referenced online to Pz.""","- ""Outliers were identified for exclusion when the epoch standard deviation exceeded 1.5 interquartile ranges above or below the upper and lower quartiles of the distribution of epoch standard deviations across all trials.""
  - ""For all EEG analyses we corrected for multiple comparisons using non-parametric cluster-based permutation tests (Maris & Oostenveld, 2007).""
  - ""Bad channels were removed with pyprep deviation and correlation metrics.""","- ""Outliers were identified for exclusion when the epoch standard deviation exceeded 1.5 interquartile ranges above or below the upper and lower quartiles of the distribution of epoch standard deviations across all trials.""
  - ""Bad channels were removed with pyprep deviation and correlation metrics.""","- ""For all EEG analyses we corrected for multiple comparisons using non-parametric cluster-based permutation tests (Maris & Oostenveld, 2007).""
  - ""Bad channels were removed with pyprep deviation and correlation metrics.""","- ""Outliers were identified for exclusion when the epoch standard deviation exceeded 1.5 interquartile ranges above or below the upper and lower quartiles of the distribution of epoch standard deviations across all trials.""
  - ""Bad channels were removed with pyprep deviation and correlation metrics.""",PMC11845409.pdf,
Cortical Correlates of Gait Compensation Strategies in Parkinson Disease,"Tosserams, A., et al., 2022",PwPD,Treadmill walking,"2 Hz (finite impulse response filter, Hamming window, zero-phase shift)",Yes,15 SD,Dipole/residual-variance; Manual/visual,dipole residual variance < 15%,"- ""EEG data were bandpass filtered between 2 and 200Hz (5,120th order finite impulse response filter, Hamming window, zero-phase shift) and downsampled to 512Hz.""","- ""The clean_rawdata plugin (v2.3) from EEGLAB was used to reject channels with low correlation (<0.6) with neighboring channels and to correct for bursts of highamplitude activity (eg, muscle artifacts) using artifact subspace reconstruction (ASR v0.13; threshold: standard deviation [SD] = 15).""","- ""The clean_rawdata plugin (v2.3) from EEGLAB was used to reject channels with low correlation (<0.6) with neighboring channels and to correct for bursts of highamplitude activity (eg, muscle artifacts) using artifact subspace reconstruction (ASR v0.13; threshold: standard deviation [SD] = 15).""","- ""Independent components with an associated equivalent current dipole and a residual variance of <15% were visually inspected considering their mean power spectra to exclude nonbrain activity.""
  - ""independent components were clustered across participants. Feature vectors were created by concatenating information about the location of the corresponding equivalent current dipole, the scalp projection, and the mean power spectral density (3-48Hz, across all conditions).""
  - ""Only clusters containing independent components from more than half of the participants (n > 9) were considered for further analysis.""","- ""Independent components with an associated equivalent current dipole and a residual variance of <15% were visually inspected considering their mean power spectra to exclude nonbrain activity.""",PMC9306676.pdf,
Cortical networks of parkinsonian gait: a metabolic and functional connectivity study,"Pellegrini, F., et al., 2024",PwPD,Overground walking,1 Hz (zero-phase forward and reverse second-order digital band-pass Butterworth filter),Yes,,Manual/visual,,"- ""EEG data were resampled to 125 Hz, zero-phase lowpass-filtered at 45 Hz, and highpass-filtered at 1 Hz (zero-phase forward and reverse second-order digital band-pass Butterworth filter).""
  - ""Line noise was eliminated using a zero-phase bandstop filter with stop band between 47 and 53 Hz.""","- ""Artifactual segments were removed for independent component analysis (ICA) but were preserved for subsequent analyses to grant for the continuity of the data.""
  - ""As a further cleaning step, we applied artifact subspace reconstruction.""","- ""Then we conducted ICA using runica 17 and visually detected and rejected eye, heart, and muscle components.""
  - ""Artifactual segments were removed for independent component analysis (ICA) but were preserved for subsequent analyses to grant for the continuity of the data.""
  - ""Artifactual channels were replaced with spherical spline interpolation on the scalp.""
  - ""Artifactual channels and segments were identified using automated artifact rejection.""","- ""As a further cleaning step, we applied artifact subspace reconstruction.""
  - ""To remove eye movements from the data, we regressed out the time series of the two electrodes closest to the eyes (FP1 and FP2) from the time series of all other electrodes.""","- ""we applied artifact subspace reconstruction. 16 Then we conducted ICA using runica 17 and visually detected and rejected eye, heart, and muscle components.""
  - ""Due to severe artifact contamination, we excluded one subject from the cortical analysis (N3).""
  - ""The EEG data were then re-referenced to a common-average reference.""
  - ""we conducted ICA using runica 17 and visually detected and rejected eye, heart, and muscle components.""
  - ""To identify the kinematics variable related to PD symptoms severity, we correlated kinematic measurements with the clinical scores (i.e., UPDRS-III meds-off) with Pearson's correlation.""",PMC11514930.pdf,
Frequency-dependent modulation of neural oscillations across the gait cycle,"Zhao, M., et al., 2022",HA,Treadmill walking,1 Hz,No,,"Other automated (e.g. kurtosis, ADJUST, MARA, correlation-based)",Not reported (the paper describes artifact attenuation methods but does not specify a probability threshold or decision rule for IC selection),"- ""We first corrected the hdEEG data for bad channels (Guarnieri et al., 2018), digitally filtered them in the band [1-80] Hz and downsampled them to 200 Hz.""
  - ""Then, we applied the multi-step blind source separation (BSS) approach that we presented in one of our recent studies (Zhao et al., 2021) to minimize the impact of ocular, movement and myogenic artifacts that were mixed in the hdEEG signals.""","- ""Specifically, artifact attenuation was either not performed (Gwin et al., 2011;Nathan & Contreras-Vidal, 2016;Oliveira et al., 2017;Seeber et al., 2014;Seeber et al., 2015;Wagner et al., 2016), or single-step BSS was used to attenuate ocular, movement and myogenic artifacts that were mixed in the EEG recordings (An et al., 2019;Artoni et al., 2017;Bradford et al., 2016;Cortney Bradford et al., 2019;Gwin et al., 2011;Snyder et al., 2015), It has, however, been shown that, since BSS methods perform differently when separating the different kinds of artifacts (Barban et al., 2021;Fitzgibbon et al., 2007), the use of a single BSS method is suboptimal (Barban et al., 2021;Zhao et al., 2021).""
  - ""In previous EEG studies conducted in walking participants, the problem of movement and myogenic artifacts has been often overlooked.""
  - ""In the present study, we employed a novel multi-step BSS approach that attenuated different kinds of artifacts with artifact-specific filtering methods and classification parameters to minimize the impact of these artifacts in our mobile hdEEG data (Zhao et al., 2021).""
  - ""Then, we applied the multi-step blind source separation (BSS) approach that we presented in one of our recent studies (Zhao et al., 2021) to minimize the impact of ocular, movement and myogenic artifacts that were mixed in the hdEEG signals.""
  - ""We first corrected the hdEEG data for bad channels (Guarnieri et al., 2018), digitally filtered them in the band [1-80] Hz and downsampled them to 200 Hz.""","- ""We first corrected the hdEEG data for bad channels (Guarnieri et al., 2018), digitally filtered them in the band [1-80] Hz and downsampled them to 200 Hz. Then, we applied the multi-step blind source separation (BSS) approach that we presented in one of our recent studies (Zhao et al., 2021) to minimize the impact of ocular, movement and myogenic artifacts that were mixed in the hdEEG signals.""
  - ""in the first step, we decomposed the data using FastICA-defl (Hyvarinen, 1999), and the components with maximum kurtosis (calculated in a 5-s sliding window) greater than 12 were considered as ocular artifacts.""
  - ""In the second step, we decomposed the data using FastICA-symm (Hyvarinen, 1999), and the components with mean sample entropy (calculated in a 20-s sliding window) lower than 0.8 were considered as movement artifacts.""
  - ""In the last step, we decomposed the data using independent vector analysis (Anderson et al., 2011), and the components with a gamma band (30-80 Hz) to a whole band (1-80 Hz) power ratio higher than 0.5 were classified as myogenic artifacts.""
  - ""In the present study, we employed a novel multi-step BSS approach that attenuated different kinds of artifacts with artifact-specific filtering methods and classification parameters to minimize the impact of these artifacts in our mobile hdEEG data (Zhao et al., 2021).""","- ""in the first step, we decomposed the data using FastICA-defl (Hyvarinen, 1999), and the components with maximum kurtosis (calculated in a 5-s sliding window) greater than 12 were considered as ocular artifacts.""
  - ""In the last step, we decomposed the data using independent vector analysis (Anderson et al., 2011), and the components with a gamma band (30-80 Hz) to a whole band (1-80 Hz) power ratio higher than 0.5 were classified as myogenic artifacts.""
  - ""In the second step, we decomposed the data using FastICA-symm (Hyvarinen, 1999), and the components with mean sample entropy (calculated in a 20-s sliding window) lower than 0.8 were considered as movement artifacts.""
  - ""Each step in the approach addressed one of the three artifact categories using a specific BSS method and an optimized artifact classification parameter.""
  - ""we applied the multi-step blind source separation (BSS) approach that we presented in one of our recent studies (Zhao et al., 2021) to minimize the impact of ocular, movement and myogenic artifacts that were mixed in the hdEEG signals.""","- ""in the first step, we decomposed the data using FastICA-defl (Hyvarinen, 1999), and the components with maximum kurtosis (calculated in a 5-s sliding window) greater than 12 were considered as ocular artifacts.""
  - ""In the second step, we decomposed the data using FastICA-symm (Hyvarinen, 1999), and the components with mean sample entropy (calculated in a 20-s sliding window) lower than 0.8 were considered as movement artifacts.""
  - ""In the last step, we decomposed the data using independent vector analysis (Anderson et al., 2011), and the components with a gamma band (30-80 Hz) to a whole band (1-80 Hz) power ratio higher than 0.5 were classified as myogenic artifacts.""",PMC9248303.pdf,"Author/year duplicate (Zhao, M. et al., 2022 appears twice in corpus — this is the 'frequency-dependent modulation across gait cycle' paper). Cohort/gait confirmed via filename-matched Elicit extraction; unambiguous on technical fields."
Auditory Cue Effects on Gait-Phase-Dependent Electroencephalogram (EEG) Modulations during Overground and Treadmill Walking,"Tharawadeepimu, K., et al., 2024",HA,Treadmill walking and Overground walking,"0.5 Hz, fourth-order Butterworth filter",No,,Manual/visual,,"- ""The raw EEGs were bandpass-filtered (within the range of 0.5-100 Hz for delta band, 4.5-100 Hz for theta band, 8-100 Hz for alpha band, and 13-100 Hz for beta band, using a fourth-order Butterworth filter),""
  - ""the EEG data were low-pass-filtered (using 4 Hz cutoff for delta band, 7.5 Hz cutoff for theta band, 12 Hz cutoff for alpha band, and 30 Hz cutoff for beta band, using a fourth-order Butterworth filter).""
  - ""These two filters were used for preparation of EEG data before using ICA algorithms, which greatly improved the quality of artifact separation""","- ""The FastICA algorithm effectively addresses ocular originated artifacts and glossokinetic artifacts, respectively""
  - ""The fast and highly efficient fixed-point fastICA algorithm was specifically utilized in this study to separate original signals from artifacts present in contaminated EEG signals.""","- ""to identify brain and non-brain sources mixing in the EEGs, the preprocessed EEG data were decomposed using ICA using a ""fastICA"" algorithm.""
  - ""This process can remove the artifact ICs, which included two ICs originating from ocular, one IC from glossokinetic, and two ICs from muscular activity during walkingrelated movement""
  - ""The fast and highly efficient fixed-point fastICA algorithm was specifically utilized in this study to separate original signals from artifacts present in contaminated EEG signals.""","- ""The FastICA algorithm effectively addresses ocular originated artifacts and glossokinetic artifacts, respectively""
  - ""The fast and highly efficient fixed-point fastICA algorithm was specifically utilized in this study to separate original signals from artifacts present in contaminated EEG signals.""
  - ""This process can remove the artifact ICs, which included two ICs originating from ocular, one IC from glossokinetic, and two ICs from muscular activity during walkingrelated movement""
  - ""Next, to identify brain and non-brain sources mixing in the EEGs, the preprocessed EEG data were decomposed using ICA using a ""fastICA"" algorithm.""","- ""The fast and highly efficient fixed-point fastICA algorithm was specifically utilized in this study to separate original signals from artifacts present in contaminated EEG signals.""
  - ""This process can remove the artifact ICs, which included two ICs originating from ocular, one IC from glossokinetic, and two ICs from muscular activity during walkingrelated movement""
  - ""Next, to identify brain and non-brain sources mixing in the EEGs, the preprocessed EEG data were decomposed using ICA using a ""fastICA"" algorithm.""",PMC10934684.pdf,
Association between gait speed deterioration and EEG abnormalities,"Garcı´a-Agustin, D., et al., 2024",HA,Overground walking,0.3 Hz,No,,Manual/visual,,"- ""The following acquisition parameters were employed: gain of 10 000, pass-band filters between 0.3-30 Hz, sampling rate of 200 Hz, noise level of 2 μV RMS and environmental temperature of approximately 23˚C.""","- ""The Z-transformed statistic was used to compare each participant's BBSP against the normative data.""
  - ""About 24 segments obtained from each participant were submitted to a quantitative frequency analysis using a Fast Fourier Transform (FFT).""
  - ""After a standard visual evaluation, a quantitative analysis of the EEG was carried out on the recording of each participant. An expert electroencephalographer (DGA) manually selected artefact-free segments of 2.56 s in duration from eyes-closed periods.""","- ""a quantitative analysis of the EEG was carried out on the recording of each participant. An expert electroencephalographer (DGA) manually selected artefact-free segments of 2.56 s in duration from eyes-closed periods.""
  - ""The Z-transformed statistic was used to compare each participant's BBSP against the normative data. This transformation expresses the distance between an individual BBSP and the average BBSP of the normal population for the participant's age. The distance is measured in values of standard deviations (SD), where | Z | > 1.96 indicates that the variable is outside the range of the normal population with a 5% risk of error (p<0.05).""
  - ""a participant's BBSP was classified as abnormal if the absolute Z value of the AP for any frequency band was above 1.96.""","- ""An expert electroencephalographer (DGA) manually selected artefact-free segments of 2.56 s in duration from eyes-closed periods.""
  - ""After a standard visual evaluation, a quantitative analysis of the EEG was carried out on the recording of each participant.""
  - ""The Z-transformed statistic was used to compare each participant's BBSP against the normative data.""
  - ""About 24 segments obtained from each participant were submitted to a quantitative frequency analysis using a Fast Fourier Transform (FFT).""","- ""After a standard visual evaluation, a quantitative analysis of the EEG was carried out on the recording of each participant. An expert electroencephalographer (DGA) manually selected artefact-free segments of 2.56 s in duration from eyes-closed periods.""
  - ""The Z-transformed statistic was used to compare each participant's BBSP against the normative data. This transformation expresses the distance between an individual BBSP and the average BBSP of the normal population for the participant's age. The distance is measured in values of standard deviations (SD), where | Z | > 1.96 indicates that the variable is outside the range of the normal population with a 5% risk of error (p<0.05). Therefore, a participant's BBSP was classified as abnormal if the absolute Z value of the AP for any frequency band was above 1.96.""",PMC11149873.pdf,
"Brain Networks Modulation during Simple and Complex Gait: A ""Mobile Brain/Body Imaging"" Study","Bonassi, G., et al., 2024",HA,Overground walking,1 Hz,Maybe,,No ICA,,"- ""Data preprocessing included bad-channel correction, filtering in the frequency band [1-80 Hz], and attenuation of ocular, movement, and myogenic artifacts [14].""","- ""Our group has recently validated an approach with MoBI that combines hdEEG with kinematic measurements, with an accurate and efficient myogenic artifact removal [11,14].""
  - ""Data preprocessing included bad-channel correction, filtering in the frequency band [1-80 Hz], and attenuation of ocular, movement, and myogenic artifacts [14].""","- ""Data preprocessing included bad-channel correction, filtering in the frequency band [1-80 Hz], and attenuation of ocular, movement, and myogenic artifacts [14].""
  - ""The head model was built using a template magnetic resonance (MR) image in combination with template electrode positions using the MR-TIM [12] and the Simbio [31].""
  - ""We fed this forward model template, together with the preprocessed individual hdEEG data, into the exact low-resolution brain electromagnetic tomography (eLORETA) method [32] to obtain a three-dimensional neural signal for each voxel in the grey matter.""
  - ""The neural signal of each voxel was then projected to a single dimension for further analysis using principal component analysis [33].""
  - ""Frequency-dependent modulations of neural oscillations were assessed by conducting an ERD/ERS analysis of the gait cycle on the brain signals reconstructed from selected regions of interest (ROIs).""","- ""Data preprocessing included bad-channel correction, filtering in the frequency band [1-80 Hz], and attenuation of ocular, movement, and myogenic artifacts [14].""
  - ""The head model was built using a template magnetic resonance (MR) image in combination with template electrode positions using the MR-TIM [12] and the Simbio [31].""
  - ""We fed this forward model template, together with the preprocessed individual hdEEG data, into the exact low-resolution brain electromagnetic tomography (eLORETA) method [32] to obtain a three-dimensional neural signal for each voxel in the grey matter.""
  - ""The neural signal of each voxel was then projected to a single dimension for further analysis using principal component analysis [33].""
  - ""Frequency-dependent modulations of neural oscillations were assessed by conducting an ERD/ERS analysis of the gait cycle on the brain signals reconstructed from selected regions of interest (ROIs).""
  - ""The EOG recordings were subsequently used for EEG artifact removal.""","- ""Data pre-processing, head model creation, and source localization were performed following the same pipeline as described in our previous study on this topic [11]. Data preprocessing included bad-channel correction, filtering in the frequency band [1-80 Hz], and attenuation of ocular, movement, and myogenic artifacts [14].""
  - ""The hdEEG data were sampled at 1 kHz frequency, using the FCz electrode as a physical reference. Electrode impedance was kept below 5 kΩ. Electrooculographic (EOG) signals were recorded to monitor for vertical (VEOG) and horizontal (HEOG) eye movement. The EOG recordings were subsequently used for EEG artifact removal.""
  - ""Data preprocessing included bad-channel correction, filtering in the frequency band [1-80 Hz], and attenuation of ocular, movement, and myogenic artifacts [14].""",PMC11086305.pdf,
